Question,Context,Answer 1,Score 1,Feedback 1,Answer 2,Score 2,Feedback 2
What are the symptoms of gastritis?,"However, the most common symptoms include: Nausea or recurrent upset stomach Abdominal bloating Abdominal pain Vomiting Indigestion Burning or gnawing feeling in the stomach between meals or at night Hiccups Loss of appetite Vomiting blood or coffee ground-like material Black, tarry stools To diagnose gastritis, your doctor will review your personal and family medical history, perform a thorough physical evaluation, and may recommend any of the following tests: Upper endoscopy.","Nausea, abdominal pain, loss of appetite, vomiting blood",9,"Good job covering the main symptoms, but missed mentioning hiccups and black, tarry stools.","Nausea, abdominal pain, bloating, vomiting, indigestion",7,"Good attempt, but missed important symptoms like hiccups and black, tarry stools."
What does the treatment for gastritis involve?,"Treatment for gastritis usually involves: Taking antacids and other drugs (such as proton pump inhibitors or H-2 blockers) to reduce stomach acid Avoiding hot and spicy foods For gastritis caused by H. pylori infection, your doctor will prescribe a regimen of several antibiotics plus an acid blocking drug (used for heartburn) If the gastritis is caused by pernicious anemia, B12 vitamin shots will be given. Eliminating irritating foods from your diet such as lactose from dairy or gluten from wheat Once the underlying problem disappears, the gastritis usually does, too. You should talk to your doctor before stopping any medicine or starting any gastritis treatment on your own.","Taking antacids, antibiotics, and avoiding trigger foods.",10,"Perfect answer, covers all necessary aspects of treatment.",Taking antacids and avoiding spicy foods.,7,"Good start, but missing information about antibiotics and other potential treatments."
How does an upper endoscopy help diagnose gastritis?,"However, the most common symptoms include: Nausea or recurrent upset stomach Abdominal bloating Abdominal pain Vomiting Indigestion Burning or gnawing feeling in the stomach between meals or at night Hiccups Loss of appetite Vomiting blood or coffee ground-like material Black, tarry stools To diagnose gastritis, your doctor will review your personal and family medical history, perform a thorough physical evaluation, and may recommend any of the following tests: Upper endoscopy. An endoscope, a thin tube containing a tiny camera, is inserted through your mouth and down into your stomach to look at the stomach lining. The doctor will check for inflammation and may perform a biopsy, a procedure in which a tiny sample of tissue is removed and then sent to a laboratory for analysis.",An upper endoscopy helps visualize stomach lining for inflammation and perform biopsies.,10,"Great answer, clearly explains the purpose and procedure of an upper endoscopy.",It looks at your stomach lining to check for inflammation.,8,"Good answer, but could have mentioned the biopsy procedure for a more complete explanation."
How is a fecal occult blood test (stool test) used to diagnose gastritis?,"This test checks for the presence of blood in your stool, a possible sign of gastritis.","It checks for blood in stool, a sign of gastritis.",10,"Perfect answer, concise and accurate.","Detects blood in stool, indicating gastritis presence.",9,"Good answer, could be slightly more specific."
What is gastritis?,"!s_sensitive, chron ID: $('article embeded_module[type=video][align=top]:eq(0)').attr('chronic_id'), continuous Play: true, cp Options: { flyout: true }, display Ads: true, mode: 'in-article', sticky: true }) }); }); } else { $(function(){ $('.responsive-video-container').remove(); }); } Gastritis is an inflammation, irritation, or erosion of the lining of the stomach. It can occur suddenly (acute) or gradually (chronic).","Gastritis is inflammation, irritation, or erosion of stomach lining.",10,Perfect and concise answer.,Gastritis is a stomach condition causing irritation and inflammation.,8,"Good attempt, could be more specific about erosion of stomach lining."
What causes gastritis?,"It may also be caused by any of the following: Helicobacter pylori ( H. pylori): A bacteria that lives in the mucous lining of the stomach; without treatment, the infection can lead to ulcers, and in some people, stomach cancer. Bile reflux: A backflow of bile into the stomach from the bile tract (that connects to the liver and gallbladder) Infections caused by bacteria and viruses If gastritis is left untreated, it can lead to a severe loss of blood and may increase the risk of developing stomach cancer. Treatment for gastritis usually involves: Taking antacids and other drugs (such as proton pump inhibitors or H-2 blockers) to reduce stomach acid Avoiding hot and spicy foods For gastritis caused by H. pylori infection, your doctor will prescribe a regimen of several antibiotics plus an acid blocking drug (used for heartburn) If the gastritis is caused by pernicious anemia, B12 vitamin shots will be given.","Helicobacter pylori infection, bile reflux, bacteria, viruses.",10,"Excellent, all major causes of gastritis are mentioned.","Spicy foods, stomach acid, H. pylori, bile reflux.",7,"Good effort, but missed mentioning infections caused by bacteria and viruses."
What is neutropenia?,"Neutrophils are cells in your immune system that attack bacteria and other organisms when they invade your body. Neutrophils are a type of white blood cell. Your bone marrow creates these cells. They then travel in your bloodstream and move to areas of infection where they ingest and then neutralize the offending bacteria. Neutropenia itself often doesn't cause symptoms. In some cases, people only learn they have neutropenia when they have a blood test for an unrelated reason.",Neutropenia is a condition with low neutrophil count.,10,"Good job, clear and concise answer.",Neutropenia is when your immune system is weak.,5,"Partially correct, but could be more specific about neutrophils."
What are the causes of neutropenia?,"Neutrophils are cells in your immune system that attack bacteria and other organisms when they invade your body. The risk for serious infection generally increases as: Neutrophil count goes down Duration of severe neutropenia gets longer The causes of neutropenia include: Problem in the production of neutrophils in the bone marrow Destruction of neutrophils outside the bone marrow Infection Nutritional deficiency Causes of decreased production of neutrophils include: Being born with a problem with bone marrow production (congenital) Leukemia and other conditions that affect the bone marrow or lead to bone marrow failure Radiation Chemotherapy Infections that can cause neutropenia include: Tuberculosis Dengue fever Viral infections such as Epstein- Barr virus, cytomegalovirus, HIV, viral hepatitis Increased destruction of neutrophils can be due to the body's immune system targeting neutrophils for destruction.","Problem in production of neutrophils, infections, nutritional deficiency.",8,"Good coverage of the main causes, could have mentioned increased destruction.","Bone marrow failure, viral infections, radiation, tuberculosis.",6,"Missing information on production and destruction causes, but good mention of infections."
What are infections that cause neutropenia?,"Neutrophils are cells in your immune system that attack bacteria and other organisms when they invade your body. The risk for serious infection generally increases as: Neutrophil count goes down Duration of severe neutropenia gets longer The causes of neutropenia include: Problem in the production of neutrophils in the bone marrow Destruction of neutrophils outside the bone marrow Infection Nutritional deficiency Causes of decreased production of neutrophils include: Being born with a problem with bone marrow production (congenital) Leukemia and other conditions that affect the bone marrow or lead to bone marrow failure Radiation Chemotherapy Infections that can cause neutropenia include: Tuberculosis Dengue fever Viral infections such as Epstein- Barr virus, cytomegalovirus, HIV, viral hepatitis Increased destruction of neutrophils can be due to the body's immune system targeting neutrophils for destruction.","Tuberculosis, Dengue fever, Viral infections such as Epstein-Barr virus, cytomegalovirus, HIV, viral hepatitis",10,"Perfect answer, includes all relevant infections.","Tuberculosis, Malaria, Measles, Zika virus, Chickenpox",5,"Good attempt, but some infections listed do not cause neutropenia."
What medications cause neutropenia?,"Neutrophils are cells in your immune system that attack bacteria and other organisms when they invade your body. This may be related to having an autoimmune condition, such as: Crohn's disease Rheumatoid arthritis Lupus In some people, neutropenia can be caused by certain medications, such as: Antibiotics Blood pressure drugs Psychiatric drugs Epilepsy drugs When deciding on treatment, health care providers consider the cause and severity of the neutropenia.","Antibiotics, blood pressure drugs, psychiatric drugs, epilepsy drugs",10,"Excellent, all relevant medications listed accurately.","Painkillers, allergy medications, diabetes drugs, chemotherapy",4,"Missing specific medications that cause neutropenia, broad categories mentioned."
